band,dec,detector,diaObjectId,diaSourceId,midpointMjdTai,nDiaSources,psfFlux,ra,snr,visit,x,y,separation_degree
r,-28.0999131984,94,314011740820996139,314011740820996139,61060.11967395,1,808.8921,53.1478902388,5.1004915,2026011900119,2121.896,1610.052,0.0106827026
r,-28.1024464661,94,313708288626655301,313879818618798085,61030.2866954435,3,2154.0461,53.1460280295,5.6891985,2025122000262,3017.8376,397.51944,0.0125653732
z,-28.0772275206,94,313787430785253446,313787430785253446,61009.0601043764,1,2224.6614,53.1729309556,5.0976367,2025112900047,511.83307,2373.7454,0.025470124
r,-28.0650798757,94,313862202806239255,314011740820996163,61060.11967395,2,787.1033,53.1700725962,5.1191545,2026011900119,1859.9574,2279.3018,0.0360331717
r,-28.1447727907,94,313994143532581058,314011740552560761,61060.1180475412,2,893.59314,53.1900581046,5.102501,2026011900117,3478.9944,3567.0774,0.0520322764
i,-28.1419664248,94,313774266710491173,313774266710491173,61006.2103278992,1,976.52856,53.1234735369,5.024983,2025112600271,3229.1072,1191.6498,0.0529052529
r,-28.1463738453,94,313879818618798088,313879818618798088,61030.2866954435,1,2353.031,53.1944959466,5.869861,2025122000262,1920.6259,499.39505,0.0554626537
r,-28.1601804414,94,314011740284125274,314011740284125274,61060.1165843752,1,746.3846,53.1574408483,5.1719375,2026011900115,3925.2297,3204.3608,0.0602227445
r,-28.0500322129,94,313879818618798120,313879818618798120,61030.2866954435,1,1794.4015,53.2123389764,5.1459866,2025122000262,3090.671,1808.3456,0.0680397336
r,-28.1420545998,94,314011740284125293,314011740284125293,61060.1165843752,1,768.18207,53.2233621188,5.3178368,2026011900115,2959.7432,3721.198,0.0699388274
